(rloc,hloc,rturn,o0,o1)
0:(3,2,1,4,2)
1:(6,2,0,4,2)
2:(6,6,1,4,2)
3:(6,6,0,4,2)
4:(6,2,1,4,1)
5:(6,2,0,4,1)
6:(6,6,1,4,1)
7:(6,6,0,4,1)
8:(6,2,1,4,2)
9:(6,5,1,4,1)
10:(6,5,0,4,1)
11:(6,5,1,4,5)
12:(6,5,0,4,5)
13:(6,6,1,4,5)
14:(6,6,0,4,5)
15:(6,4,1,4,5)
16:(6,4,0,4,5)
17:(6,4,1,1,5)
18:(6,4,0,1,5)
19:(6,6,1,1,5)
20:(6,6,0,1,5)
21:(6,6,1,2,5)
22:(6,6,0,2,5)
23:(6,5,1,1,5)
24:(6,5,0,1,5)
25:(6,5,1,5,5)
26:(6,5,0,5,5)
27:(6,6,1,5,5)
28:(6,6,0,5,5)
29:(6,5,1,5,1)
30:(6,5,0,5,1)
31:(6,6,1,5,1)
32:(6,6,0,5,1)
33:(6,6,1,5,2)
34:(6,6,0,5,2)
35:(6,4,1,5,1)
36:(6,4,0,5,1)
37:(6,4,1,5,4)
38:(6,4,0,5,4)
39:(6,6,1,5,4)
40:(6,6,0,5,4)
41:(6,5,1,5,4)
42:(6,5,0,5,4)
43:(6,5,1,1,4)
44:(6,5,0,1,4)
45:(6,6,1,1,4)
46:(6,6,0,1,4)
47:(6,6,1,2,4)
48:(6,6,0,2,4)
49:(6,4,1,1,4)
50:(6,4,0,1,4)
51:(6,4,1,4,4)
52:(6,4,0,4,4)
53:(6,6,1,4,4)
54:(6,6,0,4,4)
55:(6,4,1,4,1)
56:(6,4,0,4,1)
57:(6,3,1,4,1)
58:(6,3,0,4,1)
59:(6,3,1,4,3)
60:(6,3,0,4,3)
61:(6,6,1,4,3)
62:(6,6,0,4,3)
63:(6,5,1,4,3)
64:(6,5,0,4,3)
65:(6,4,1,4,3)
66:(6,4,0,4,3)
67:(6,4,1,1,3)
68:(6,4,0,1,3)
69:(6,6,1,1,3)
70:(6,6,0,1,3)
71:(6,6,1,2,3)
72:(6,6,0,2,3)
73:(6,5,1,1,3)
74:(6,5,0,1,3)
75:(6,5,1,5,3)
76:(6,5,0,5,3)
77:(6,6,1,5,3)
78:(6,6,0,5,3)
79:(6,4,1,5,3)
80:(6,4,0,5,3)
81:(6,3,1,5,3)
82:(6,3,0,5,3)
83:(6,3,1,5,1)
84:(6,3,0,5,1)
85:(6,2,1,5,1)
86:(6,2,0,5,1)
87:(6,2,1,5,2)
88:(6,2,0,5,2)
89:(6,5,1,5,2)
90:(6,5,0,5,2)
91:(6,5,1,1,2)
92:(6,5,0,1,2)
93:(6,6,1,1,2)
94:(6,6,0,1,2)
95:(6,6,1,2,2)
96:(6,6,0,2,2)
97:(6,4,1,1,2)
98:(6,4,0,1,2)
99:(6,4,1,4,2)
100:(6,4,0,4,2)
101:(6,5,1,4,2)
102:(6,5,0,4,2)
103:(6,3,1,4,2)
104:(6,3,0,4,2)
105:(6,3,1,1,2)
106:(6,3,0,1,2)
107:(6,3,1,3,2)
108:(6,3,0,3,2)
109:(6,6,1,3,2)
110:(6,6,0,3,2)
111:(6,5,1,3,2)
112:(6,5,0,3,2)
113:(6,4,1,3,2)
114:(6,4,0,3,2)
115:(6,2,1,3,2)
116:(6,2,0,3,2)
117:(6,2,1,3,1)
118:(6,2,0,3,1)
119:(6,6,1,3,1)
120:(6,6,0,3,1)
121:(6,5,1,3,1)
