(rloc,hloc,rturn,o0,o1)
0:(2,2,0,0,1)
1:(2,2,0,0,2)
2:(2,2,0,0,3)
3:(2,2,0,1,0)
4:(2,2,0,1,2)
5:(2,2,0,1,3)
6:(2,2,0,2,0)
7:(2,2,0,2,1)
8:(2,2,0,2,2)
9:(2,2,0,2,3)
10:(2,2,0,3,0)
11:(2,2,0,3,1)
12:(2,2,0,3,2)
13:(2,2,0,3,3)
14:(2,2,1,0,1)
15:(2,2,1,0,2)
16:(2,2,1,0,3)
17:(2,2,1,1,0)
18:(2,2,1,1,2)
19:(2,2,1,1,3)
20:(2,2,1,2,0)
21:(2,2,1,2,1)
22:(2,2,1,2,2)
23:(2,2,1,2,3)
24:(2,2,1,3,0)
25:(2,2,1,3,1)
26:(2,2,1,3,2)
27:(2,2,1,3,3)
28:(2,3,0,0,1)
29:(2,3,0,0,2)
30:(2,3,0,0,3)
31:(2,3,0,1,0)
32:(2,3,0,1,2)
33:(2,3,0,1,3)
34:(2,3,0,2,0)
35:(2,3,0,2,1)
36:(2,3,0,2,2)
37:(2,3,0,2,3)
38:(2,3,0,3,0)
39:(2,3,0,3,1)
40:(2,3,0,3,2)
41:(2,3,0,3,3)
42:(2,3,1,0,1)
43:(2,3,1,0,2)
44:(2,3,1,0,3)
45:(2,3,1,1,0)
46:(2,3,1,1,2)
47:(2,3,1,1,3)
48:(2,3,1,2,0)
49:(2,3,1,2,1)
50:(2,3,1,2,2)
51:(2,3,1,2,3)
52:(2,3,1,3,0)
53:(2,3,1,3,1)
54:(2,3,1,3,2)
55:(2,3,1,3,3)
56:(2,4,0,0,1)
57:(2,4,0,0,2)
58:(2,4,0,0,3)
59:(2,4,0,1,0)
60:(2,4,0,1,2)
61:(2,4,0,1,3)
62:(2,4,0,2,0)
63:(2,4,0,2,1)
64:(2,4,0,2,2)
65:(2,4,0,2,3)
66:(2,4,0,3,0)
67:(2,4,0,3,1)
68:(2,4,0,3,2)
69:(2,4,0,3,3)
70:(2,4,1,0,1)
71:(2,4,1,0,2)
72:(2,4,1,0,3)
73:(2,4,1,1,0)
74:(2,4,1,1,2)
75:(2,4,1,1,3)
76:(2,4,1,2,0)
77:(2,4,1,2,1)
78:(2,4,1,2,2)
79:(2,4,1,2,3)
80:(2,4,1,3,0)
81:(2,4,1,3,1)
82:(2,4,1,3,2)
83:(2,4,1,3,3)
84:(3,2,0,0,1)
85:(3,2,0,0,2)
