(rturn,o0,o1,o2,o3,o4,o5,o6,o7,o8)
0:(0,0,0,0,0,0,0,0,0,1)
1:(0,0,0,0,0,0,0,0,1,0)
2:(0,0,0,0,0,0,0,1,0,0)
3:(0,0,0,0,0,0,0,1,1,2)
4:(0,0,0,0,0,0,0,1,2,1)
5:(0,0,0,0,0,0,0,2,1,1)
6:(0,0,0,0,0,0,1,0,0,0)
7:(0,0,0,0,0,0,1,0,1,2)
8:(0,0,0,0,0,0,1,0,2,1)
9:(0,0,0,0,0,0,1,1,0,2)
10:(0,0,0,0,0,0,1,1,2,0)
11:(0,0,0,0,0,0,1,2,0,1)
12:(0,0,0,0,0,0,1,2,1,0)
13:(0,0,0,0,0,0,2,0,1,1)
14:(0,0,0,0,0,0,2,1,0,1)
15:(0,0,0,0,0,0,2,1,1,0)
16:(0,0,0,0,0,1,0,0,0,0)
17:(0,0,0,0,0,1,0,0,1,2)
18:(0,0,0,0,0,1,0,0,2,1)
19:(0,0,0,0,0,1,0,1,0,2)
20:(0,0,0,0,0,1,0,1,2,0)
21:(0,0,0,0,0,1,0,2,0,1)
22:(0,0,0,0,0,1,0,2,1,0)
23:(0,0,0,0,0,1,1,0,0,2)
24:(0,0,0,0,0,1,1,0,2,0)
25:(0,0,0,0,0,1,1,1,2,2)
26:(0,0,0,0,0,1,1,2,0,0)
27:(0,0,0,0,0,1,1,2,1,2)
28:(0,0,0,0,0,1,1,2,2,1)
29:(0,0,0,0,0,1,2,0,0,1)
30:(0,0,0,0,0,1,2,0,1,0)
31:(0,0,0,0,0,1,2,1,0,0)
32:(0,0,0,0,0,1,2,1,1,2)
33:(0,0,0,0,0,1,2,1,2,1)
34:(0,0,0,0,0,1,2,2,1,1)
35:(0,0,0,0,0,2,0,0,1,1)
36:(0,0,0,0,0,2,0,1,0,1)
37:(0,0,0,0,0,2,0,1,1,0)
38:(0,0,0,0,0,2,1,0,0,1)
39:(0,0,0,0,0,2,1,0,1,0)
40:(0,0,0,0,0,2,1,1,0,0)
41:(0,0,0,0,0,2,1,1,1,2)
42:(0,0,0,0,0,2,1,1,2,1)
43:(0,0,0,0,0,2,1,2,1,1)
44:(0,0,0,0,0,2,2,1,1,1)
45:(0,0,0,0,1,0,0,0,0,0)
46:(0,0,0,0,1,0,0,0,1,2)
47:(0,0,0,0,1,0,0,0,2,1)
48:(0,0,0,0,1,0,0,1,0,2)
49:(0,0,0,0,1,0,0,1,2,0)
50:(0,0,0,0,1,0,0,2,0,1)
51:(0,0,0,0,1,0,0,2,1,0)
52:(0,0,0,0,1,0,1,0,0,2)
53:(0,0,0,0,1,0,1,0,2,0)
54:(0,0,0,0,1,0,1,1,2,2)
55:(0,0,0,0,1,0,1,2,0,0)
56:(0,0,0,0,1,0,1,2,1,2)
57:(0,0,0,0,1,0,1,2,2,1)
58:(0,0,0,0,1,0,2,0,0,1)
59:(0,0,0,0,1,0,2,0,1,0)
60:(0,0,0,0,1,0,2,1,0,0)
61:(0,0,0,0,1,0,2,1,1,2)
62:(0,0,0,0,1,0,2,1,2,1)
63:(0,0,0,0,1,0,2,2,1,1)
64:(0,0,0,0,1,1,0,0,0,2)
